ID;Mensagem;Emocao
2569215;Ótimo!;Positiva
2157063;Tem uma copia desse jogo;Positiva
2398141;Essa nova versão ta muito boa maravilhosa;Positiva
2766078;Só não dou 5 estrelas pro business. Pq não tem como deslogar no celular fora do horário de serviço. Só faltou isso na versão business Ai, no caso só desligando o aparelho pra não receber as mensagens;Positiva
2416724;Super fácil o acesso e os descontos são ótimos!;Positiva
2242282;Gostei muito bom;Positiva
2871817;ótima;Positiva
2842413;Umas das melhores nuvem que já usei e uso recomendo;Positiva
2844385;Muito bom esse jogo;Positiva
2179445;Esse app e muito bom;Positiva
2034905;Muita transparência no contato com a clientela, tanto pelo app como pelo telefone. Excelente.;Positiva
2749988;Um ótimo app;Positiva
2875832;o túnein é bem melhor que os outros sites porque não precisa usar antena;Positiva
2252528;Lixo de atualização;Positiva
2674144;o app é muito bom mas so acho que devia colocar mas algumas séries;Positiva
2782143;Esse jogo é bom para as pessoas que querem aprender a tocar piano , no caso eu;Positiva
2179528;Tão de sacanagem!;Negativa
2670690;Só precisa parar de alterar o valor da viagem.;Positiva
2136958;Não instala e um lixo muito ruim jogo de lerda tá garana lixo;Negativa
2061902;Aplicativo muito bom,so falta compartilha com a tv;Positiva
2032879;muito rápido e eficiente;Positiva
2162058;App incrível;Positiva
2755055;horrivel app;Negativa
1946842;Mt bom quando vc ñ sabe a letra de uma musica;Positiva
2299473;bom eu gostei muito eu assisto todos os dia no youtube de vez enquando trava mais é por causa da interneti . Gosto de varios youtubers de lá tipo Lucas Lira , mari maria , t3dy , sunaika e outros oque eu mais gosto edo Lucas Lira e da sunaika a namorada dele . Meu irmao tanbém gosta muito tchau;Positiva
2513278;Instalar este app é o mesmo que instalar uma enxurrada de propaganda. O celular fica cheio de propaganda. Basta estar online mesmo sem abrir o app;Negativa
2346293;Excelente!;Positiva
1889856;Ótimo.;Positiva
2713739;parabéns! esse aplicativo não deixa desejar em nada..;Positiva
2086600;é muito bom porem ultimamente os filmes estão travando bastante, gostaria que vcs resolvessem isso para ele fica perfeito!!!;Positiva
2507749;Otimo para quem quer aprender cozinhar;Positiva
2553137;Quando eu vou entrar nesse jogo o meu tablet fala que deu erro eu não sei mais o que fazer eu só queria jogar esse jogo mais fica dando erro por favor arrumem isso para agente poder jogar porfavor arrumem isso do meu tablet;Negativa
2564588;É bom. Rápido e simples de usar.;Positiva
2606813;so nao gostei de um anucio gratis por mes para carro;Positiva
1908875;"Nos ""favoritos"" deveria ter a opção de separar os fornecedores por cidade. Favoritos em São Paulo, favoritos no Rio de Janeiro, etc.";Positiva
2378224;to amando;Positiva
2530491;Ótimo;Positiva
2249459;2019 e ainda SEM OPÇÃO DE NAVEGAÇÃO PARA MOTOCICLETAS. 3 ANOS DE ESPERA ?;Negativa
2431080;very good;Positiva
2406985;lindo os vídeos mara eu ameiii issso mas para exportar ta dando muito problema;Positiva
2413672;Não dá nem pára baixar;Positiva
2310463;super bom recomendo;Positiva
2250098;boa;Positiva
2084970;Facil e pratico mas falha o tempo todo!!!! Com frequência dá erro ou falha de arquivos. E só piora!!! Não vale a pena.;Negativa
2687451;Muito bom o App;Positiva
2224737;bom;Positiva
2827058;Minha primeira rede social de bate papo ❤️;Positiva
1995111;Não tem modo leitura o que cansa a visão e o dicionário é péssimo para quem está aprendendo um idioma pois as traduções são muito limitadas. Pro telefone Google livros é muito melhor;Negativa
2152571;O melhor dentro do seu segmento;Positiva
2834382;Bom para q bom para bom para ninguém nunca fez nada na vida;Negativa
2536001;Se possivel eu avaliava esse aplicativo com 0 estrelas, sinceramente? Trava muito, os efeitos grátis são horríveis e ao fim da edição a imagem sempre fica embaçada e feia, além de que não vale a pena gastar dinheiro com esse lixo, bos noire 2bjo.;Negativa
2490720;O jogo esta me dando muitos problemas, primeiro os passos do sicro aventura não conta, segundo: depois de muito tempo que eu consigo caminhar os 5km não me deu a recompensa das 20 Pokébolas, e agors eu estou sem '-', outro problema coloquwi mei Arcanine no ginásio e não ganhei as 50 moedas .;Negativa
1916469;Eu gostei e muito legal mais tem q melhorar as batidas;Positiva
2364524;Subway Surfers é o melhor jogo Runner que eu já vi!, parabéns Kiloo Games e Sybo Games por esse jogo Incrível!;Positiva
2155047;o jogo e bom nao tenho nada que reclama nao;Positiva
2609820;sensacional, em dois dias vendi meu carro;Positiva
2728914;Ótimo;Positiva
2788274;e um ótimo aplicativo eu adoro;Positiva
2818261;Sempre notícias atualizadas!;Positiva
2736777;trava e nao cancela a viagem;Negativa
1966552;toop;Positiva
2146148;eu gosto do app, mas nem sempre na hora que me chama eu posso praticar, mas assim que posso tiro o atraso.;Positiva
1928029;Eu gostaria de saber quando o aplicativo vai voltar a funcionar, eu assinei para poder assistir e agora eu no consigo acessar nada, gostaria que isso fosse o mais rapido possivel resolvido.;Negativa
2075682;muita propaganda! Aaeeeeetem um tempinho q não aparece mais as propagandas! obg;Positiva
2502674;ótimo app ......bem detalhado;Positiva
2067009;Seguro, prático, rápido e em qualquer lugar e hora.;Positiva
2614437;O sistema de pesquisa não é bom, se procurar no google junto a palavra scribd ele encontra, pelo browser a pesquisa funciona, mas pelo aplicativo a pesquisa é confusa, misturada e não acha o título, não faz sentido utilizar o aplicativo.;Negativa
2362740;muito bom. E fácil de usar!;Positiva
2039314;Ótimo App tem quase tudo de várias lojas e marcas. Fácil de navegar. Só o frete que as vezes aparece que é grátis e na finalização é cobrado. Super Seguro. Recomendo.;Positiva
2248232;Deveria ter um modo de denunciar fake news, já vi muitas no app. Além disso, gostava do modelo antigo do widget, esse novo só mostra uma manchete de cada vez. E as notícias personalizadas são sempre irrelevantes, não mostra as notícias principais de fato.;Negativa
2565356;muito bom ...show;Positiva
2509514;muito bom app;Positiva
2258292;Muito bom esse aplicativo antes eu não conseguia instalar fortnite no meu alcatela a5 agora eu consigo;Positiva
2303590;Não entregam aqui em Osasco :(;Negativa
1890525;"Só faltou mais dsining. Mas eu aconcelho a vcs a baixarem. #FicaDica ;)";Positiva
2006039;Muito bom!;Positiva
1880599;Sem comentários, é ótimo.;Positiva
2418312;bem prático;Positiva
2395707;Muito bom só tem q corrigir alguns bugs;Positiva
2466896;muito bom excelente jogo mim divirto muito recomendo;Positiva
2351737;Fácil de usar e com várias opções de formatação! Vale a pena ter no seu smartphone!;Positiva
2586818;estalei fui fazer a primeira recarga so da erro. 1 estrela pra esse app!!!;Negativa
2558928;Muito bom!!;Positiva
2726934;top;Positiva
2377639;boa sorte muito;Positiva
1871220;novamente refazendo minha resenha aqui, o que era ruim agora piorou mais ainda, um app tão instável e cheio de erros, não sei se é o melhor para confiar dados de crédito... nao consigo mais nem entrar no app agora... só erro de atualização, ja desinstalei e instalei mil vezes, preciso de minhas informações de fatura com urgência mas infelizmente o app q antes estava muito ruim, agora não funciona mais....;Negativa
2295038;EU NÃO CONSIGO MAIS ABRIR O APP EU CONSIGO ABRIR O APP E MEXER NELE NORMALMENTE MAS SE EU PARAR DE MEXER NELE, POR UM SEGUNDO, ELE TRAVA TODO E ABRE UMA JANELINHA FALANDO: YOUTUBE PAROU DE FUNCIONAR. × FECHAR APP Ø AGUARDAR [ ] ENVIAR FEEDBACK. PVF ARRUMEM ISSO!!!!!!;Negativa
2746139;Muito bom;Positiva
2050821;Excelente Pós venda!;Positiva
2563290;Muito bom , solucionou meus problemas.;Positiva
1994270;bom;Positiva
2415889;bom;Positiva
2562299;olá , bom dia pois bem a minha opinião sobre alguma melhoria a mais no app dfndr security Anti... é bem simples é a possibilidade de o app avisar quais os sites confiavéis antes de agente navegar por estes sites .;Positiva
2762475;de uns tempos p cá não toca mais nem vibra quando recebe mensagem... e todas as funções do cell está normal... já fiz de tudo e nada;Negativa
2838254;Detestei pois tem essa POHA DE COTA DE TRANSFERENCIA ESGOTADA, NÃO POSSO NEM FAZER DOWNLOAD;Negativa
2401324;Muito bom este App. .. ☺;Positiva
2636167;muito bom!;Positiva
2454389;muito boa aplicativo pratico;Positiva
2597666;Ótimo jogo muito legal;Positiva
2455545;Bom demais da conta;Positiva
2593098;Achei bem legal e criativo prá quem tá com dúvida entre baixar vale apena eu gostei;Positiva
2176906;o Facebook lite não esta carregando chegar em 100 más não instala;Negativa
2404968;bom;Positiva
2240486;Regular;Neutra
2227933;Lento;Negativa
2337398;Olha, que APP excelente! Salvo todos meus artigos que gosto com a maior facilidade do mundo no tablet. Recomendo a todos!;Positiva
2129511;LIXO LIXO LIXOOOOP;Negativa
2694534;olá boa noite, eu estou tentando fazer a confirmação do meu numero de celular, mais o App não reconhece, porque no meu estado de Pernambuco - Brasil, os numeros de celulares são um total de 11 digitos com o DDD, por favor corrigir esse erro do App;Negativa
2169377;Instalei o jogo de novo e tiraram os duelos, sacanagem;Negativa
2058090;Muito bom pra se distrair.;Positiva
2576167;Eu amo fazer vídeo pelo viva vídeo o único até agora q gosto de usar... excelente!;Positiva
1925289;bom demais;Positiva
2870740;Ótimo;Positiva
2284457;Excelente para se organizar;Positiva
2421122;Atendimento ruim ainda nao recebi o produto e a transportadora fica enrolando para fazer a entrega ate pediram para deixa o produto na casa de um parente dele a 100 km de distancia para eu ir buscar nao recebi meu produto quero a devolução do valor total Magazine Luiza reveja as eticas de suas transportadoras e devolva meu dinheiro;Negativa
2739962;nao consigo me cadastrar, fala q ja tem cadastro.;Negativa
1900282;muito boa;Positiva
2172569;Eu nunca usei mais talves seja bom ^.^;Neutra
2838396;"mano nmrl esse app só me deixou puto eu fui alterar a minha senha e fala que a nova senha é invalida ;-; aff";Negativa
2547040;'Gostei e um otimo App;Positiva
2354218;top demais a nova funcionalidade.;Positiva
2103323;muito bomm;Positiva
2023134;Não gostei não tem como baixar músicas,ex mc kevinho ou funks de hoje em dia decepção.;Negativa
2471811;Meu filho adora ! E eu me admiro com tamanha criatividade em construir coisas de uma criança com apenas 4 anos;Positiva
2005010;Estava a procura de um aplicativo para gerenciar tarefa que fosse simples e ao mesmo tempo eficiente e poderoso. Após testar inúmeras opções encontrei o Any.do e estou muito feliz e entusiasmado. Eu recomendo!;Positiva
2575193;Muito legal , fácil de editar;Positiva
2581292;Amei;Positiva
1881002;tá ótimo;Positiva
1927327;eu amor as novelas do sbt são muito boa;Positiva
1890500;Very bad app;Negativa
1901471;foi emocionante o ano de 2018,espero ver o cartola melhor do q planeja (criador) de app;Positiva
2044957;Minha vida sem esse app não faz sentido;Positiva
2734696;Eu;Positiva
2591943;O jogo e bom mas tem umas fases que são muito difíceis por terem muitas coisas para tirar do caminho para o balão não estorar mas tirando isso o jogo e muito bom e é bem legal mas as fases também são fáceis eu tag a brincano e muito bom o jogo e melhor baixar esse app e serio baxa;Positiva
1998967;Good;Positiva
2666652;essa nova atualização já chegou trazendo problemas. Já atualizei o jogo mas quando eu entro ele pede pra atualizar sendo que eu já fiz isso. CONSERTE LOGO ISSO SUPERCELL!!!;Negativa
1969530;Bom navegador;Positiva
2633776;muito bom so podia para ouvir offline otimo;Positiva
2008580;Olá! Nesse primeiro momento estou navegando e as futuras experiências viram com o tempo..!;Neutra
1928800;antes tava bom. mas agora fica dando erro. não. gostei. o App. tá uma decepção infelizmente tem que. melhorar e volta. o que era. por causa disso. eu. cancelei. Até. meu pacote do tele cine. só por. causa disso.;Negativa
2124947;Perfeito;Positiva
2876335;Amo a radio tunein;Positiva
2321613;Muito bom gostei tá de parabéns;Positiva
2734444;bom demais povo;Positiva
2232985;Muito bom. De fácil acesso.;Positiva
2053345;daora;Positiva
1905376;App muito bom, varias ofertas maravilhosas;Positiva
1899427;Muito bom o Cartola FC, ja estava com saudades!!!;Positiva
2062146;Você não perde um anúncio :(;Negativa
2817608;Acho o aplicativo incrível, as notícias ficam organizadas por assunto e isso facilita na hora de a achar algo que eu gosto;Positiva
1845651;Exelente e. Muito úteis parabéns anatel;Positiva
2580334;Achei meio bosta , as vezes fica sem audio as vezes nao entra a programaçao as vezes pega e some do nada e da vontade de excluir esse aplicativo do playstore mas de resto esta tudo bom .;Negativa
2428592;Muito bom estou aprendendo novos idiomas parabéns aos criadores;Positiva
2402152;muito bom melhor localizador #lifeéomelhor360;Positiva
2527126;meu talking tom e muito bom as roupas são muito bonita a casa que da pra personalizar os mini games o a casa e muito linda o tom e muito fofo as comida que fazem o tom ficar vermelho tipo a pimenta;Positiva
2703429;Mas produtos com entrega gratis;Positiva
2464256;eu gosto muito desse jogo não tem com paração com outro joga;Positiva
2160926;massa;Positiva
2359176;É um lixo só fica travado não consigo ver nada porque trava na tela inicial! Como faço pra fica com APP antigo?;Positiva
2066337;não estou conseguindo ter acesso a minha conta no meu celular,já desistalei e estalei novamento mas sem susseço nunca tive problemas desde q baixei o app, no meu celular mas de uns dias pra cá não conseguir ter acesso;Negativa
2866722;Gente eu aconselho a baixarem esse aplicativo ,muito maravilhoso pra baixa música,quem fz está de parabéns;Positiva
2176235;encontra pessoas;Positiva
1854057;O app parou de ler QR code;Negativa
2529884;Ótimo;Positiva
1844539;muito legal para passar o tempo eseto a outra opção de jogo que tem que ter Wi-Fi;Positiva
2088598;Sou filmomaníaco... e Este foi o fos melhores app de filmes que ja baixei... Nota dez... Para os criadores...;Positiva
2356523;Já uso a uns quatro anos, melhor app para digitalização e compartilhamento de documentos...;Positiva
2333609;o smartfone melhorou mesmo muito o rendimento. Bom trabalho.;Positiva
2371937;é super legal eu recomendo algumas fazes são bem difíceis mas eu adoro;Positiva
2110999;É bom. porém acho que deixa a desejar sobre as compras parceladas. algumas parcelas nao são exibidas como deveriam para que os gastos aejam programadoa com maior exatidão. Tenho que apelar pra fatura pra ver as compras parceladas.;Neutra
2617140;muito bom pena que de vez em quando volta á estaca zero!!!;Neutra
2021329;legal;Positiva
2358728;Ta horrível o aplicativo, só pra cadastrar ja ta me dando muito trabalho Na hora de receber a sms de ativação não posso sair do aplicativo para pegar o codigo e quando saio ele reenvia outro codigo...;Negativa
2096320;ruim;Negativa
2530265;Bom;Positiva
2547356;boa;Positiva
2524790;Porcarias de propaganda a cada minuto....;Negativa
2695568;Um pouco mais de liberdade com as pessoas próximas a minha residência seria ótimo.;Positiva
2739285;horrível, se vc clica fazer pedido sem querer , o pedido é feito, não há nenhuma tela para confirmação do pedido.;Negativa
2430211;muito bom;Positiva
2680727;o jogo não ta nem entrando mais ele sai sozinho;Negativa
2550106;jogo muito ruim não deixa eu entrar no jogo;Negativa
2602052;estou tentando fazer transferências pra pessoas já cadastradas na minha lista de favorecidos e não consigo......até sair p santander do ar;Negativa
2284430;"O app é bom, mas tenho perdido compromissos porque ele parou de me lembrar no celular. Além disso a versão pra note tem a opção ""tarefas"", mas a do celular não tem. Desse modo não sincroniza tarefas lançadas no note com o celular.";Neutra
2524528;Adoro o jogo é muito original mas o problema é que a toda a hora dá publicidade e isso é muito chato, mas fora isso o jogo é muito bom.;Positiva
2184822;Muito bom;Positiva
2323781;muito bom;Positiva
2559527;Tem um grande problema: você escolhe 2 produtos para compra, no carrinho diz que precisa completar 200 reais para finalizar. Ok, volto as compras para completar o valor, mas ao inserir uma nova peça, diz que tem que finalizar a compra atual antes de inserir novas peças. Ou seja, impossível comprar. Tive que concluir pelo site pois o App não permite finalizar.;Negativa
2830631;Não tá aparecendo as imagens das séries e filmes;Negativa
2361896;maravilhoso... nem preciso mais sair de casa para nadaaaaa.. ameiiii;Positiva
2276965;Simplesmente o melhor app de música que já utilizei. O único adendo seria a adição de uma recomendação de músicas do mesmo estilo ao final de sua playlist que nem no Spotify, entretanto o app e demais,estão de parabéns,melhor acervo de músicas.;Positiva
2516651;ate agora muito bem;Positiva
2636558;eu amo demais;Positiva
2086975;aplicativo muito bom , recomendo a todos , ate agora foi o melhor que achei , parabens pra equipe.;Positiva
2423214;Muito bom;Positiva
2795376;Melhor aplicativo quem quer comprar barato é na zoom;Positiva
2034028;atendimento telefonico apenas digital;Neutra
2095821;uma desgraça de tantos anúncios !!!!!!!!!;Negativa
2572204;Um dos melhores app para aprender a língua inglesa;Positiva
2750496;esse aplicativo não funciona mais, muito lento, nem reconhece os torrents .;Negativa
2360527;ele falha muito ao programar um conta pra pagamento futuro, precisa evoluir muito;Negativa
2165521;bom demais;Positiva
2810414;E ótimo mas um puco de tempo eu coloquei para despertar e não tocou;Positiva
1992383;Eu amei dobre esse jogo muito legal;Positiva
2237453;Mt Bom, Ótimo Este App Recomendo;Positiva
2327530;O App parece ser muito bom! Mas gostaria de saber se dá para colocar vídeos prontos no canal.;Positiva
2298773;o YouTube é bom mais com ele desmonetizando os vídeos não da porque muitos canais que eu vejo são desmonetizados por causa de uma palavra então YouTube para de desmonetizar os vídeos por favor;Negativa
2799903;mt loko;Positiva
2349732;Gosto bastante . Nao me deixa na mao;Positiva
2837048;E muito bom;Positiva
1898107;Uau;Positiva
2851794;e muito bommmm eu gostei da nova atualizasão recomendo a todos vou ameiiii vou joga mais um pouco fui;Positiva
2178159;ta horrivel antes da atualizacao tava otimo depois dessa atualizacao nem abre mas arrumem isso;Negativa
1917560;Pra quem não gostou do app é um pouco burro pelo amor de Deus e tão fácil que até os bebês sabem jogar. (tenho 10 anos e já aprendi , mas o jogo é bom.;Positiva
2161022;bom;Positiva
2001581;Sem opção de boleto como os grandes App chineses.;Negativa
2375836;Adoro.. porém as vezes me estresso pois demoro a passar de fase rs.. mas, não fico sem jogar 1 dia!;Positiva
1934232;"E uma grande , não serve para nada,sem falar do fato de contratar um plano,ser cobrado a mais quase um ano,e sem aviso prévio ser cobrado 70 reais a mais do nada ""# Tim sem fronteiras para a incompetência""";Negativa
2424781;Legal;Positiva
2793489;achei muito top mas gostei mas e das vozes #RECOMENDO PARA TODOS(AS) AMEI MUITO MUITO MUITO MESMO PASSO U DIA GUASE TODO VENDO VÍDEO NELE;Positiva
1854936;Muito bom;Positiva
2457762;muito necessário...eficiente.;Positiva
2490695;pessoal reclama, mas eu nao tenho problema;Positiva
2305618;muito bom;Positiva
2164029;melhor apricativo;Positiva
1971322;Muito bom gostei;Positiva
2526440;Eu não gostei...Eu amei muito bom parabéns aos criadores deste jogo;Positiva
2678394;Muito bem indicado este aplicativo;Positiva
2816328;Simplesmente o melhor, sem mais..;Positiva
2858437;Ñ consigo mais enviar vídeos e os áudios são ouvidos em alta rotação. Conseguiram estragar o aplicativo.;Negativa
2559667;melhores preços da internet!;Positiva
2874252;Amo desse app pois consigo ouvir minha rádio preferida;Positiva
2453679;mt bom;Positiva
1878077;Olá getninja já paguei o boleto já enviei minhas fotos para validar os documentos até agora não foi desbloqueado nenhum número e Estou sem nenhum cliente até agora;Negativa
2735135;ultimamente os motoristas estao cancelando as viagens! ta um caso serio isso ... Agora pra piora vc nao consegui pedi a forma de paga no dinheiro so cartao de credito aff !Vamos melhora ne voltaa opçao formade pagamento no dinheiro.. obrigada! como faço pra receber meu reenbolso a corrida custava 14 reais na hora de paga cobrou 31 reais isso e um absurdo.;Negativa
2036602;agora ficou bom!!;Positiva
2696826;depois da Jenifer o preço subiu pra carai, mas da para usar de graça!;Positiva
2622563;muito bom adoro !;Positiva
2331677;maravilhoso;Positiva
1925508;bom;Positiva
2066479;Não gostei! Pesado de mais! Trava toda hora e praticamente não lê os Códigos de barra! Já contei, vocês leram a postagem?;Negativa
2417647;compras super rapido.;Positiva
2093625;muito bom o aplicativo;Positiva
2224588;top;Positiva
2218885;muito bom tipo é pras crianças aprende a ler;Positiva
2696233;bug com retrocompatibilidade, e agora nao funciona no meu celular. o aplicativo abre mas logo dps fecha;Negativa
2216550;Muito bom... Caça palavras de ótima qualidade;Positiva
