Mensagem,TipoChamado
"Bom dia! Exclusão de preventiva  Hospital Regional de Augustinópolis Solicito a exclusão da preventiva OXIGÊNIO LÍQUIDO no local Central de gases 02, houve um equívoco no lançamento. Caso a solução mais simples seja anulação de todas deste plano de manutenção, não há problema! Posso lançar novamente. Atenciosamente, João Oliveira!",Pedido de Suporte
"Bom dia! Solicito a exclusão de lançamento da preventiva NO BREAK do usuário RICARDO GOMES DA SILVA BEZERRA do Hospital Regional de Augustinópolis, foram 11 lançamentos que aguardam aprovação, a empresa Salux será a responsável daqui em diante pela realização da mesma. Referência Fevereiro2025. Atenciosamente, João Oliveira.",Pedido de Suporte
"De Para Tarefa 39711Demissão de Colaborador  Aviso Prévio Bom dia! Solicito exclusão de usuário no Sistema Point Service Valdelíce Rodrigues da Silva Coêlho. Que não seja cancelado email corporativo, alterado os dados para nova colaboradora Isabela Leal dos Santos, cancelar somente acesso nos demais sistemas da empresa. Atenciosamente, h4. Laryssa Souza Marinho   6 anexos   1  SOLICITAÇÃO DE RESCISÃO  VALDELICE RODRIGUES      2. Anexar cópia de email com autorização da Diretoria para Desligamento  VADELICE     3  Solicitação de     5  DEVOLUÇÃO CRACHÁ  VALDELICE     7  TERMO DEVOLUÇÃO EPIs  VALDELICE     ASO DEMISSIONAL  VALDELICE RODRIGUES DA SILVA   ",Pedido de Suporte
"De Para Tarefa 39711Demissão de Colaborador  Aviso Prévio Olá, bom dia! Solicito a exclusão da colaboradora Valdelice Rodrigues  Guaraí. h4. Laryssa Souza Marinho   6 anexos   1  SOLICITAÇÃO DE RESCISÃO  VALDELICE RODRIGUES      2. Anexar cópia de email com autorização da Diretoria para Desligamento  VADELICE     3  Solicitação de     5  DEVOLUÇÃO CRACHÁ  VALDELICE     7  TERMO DEVOLUÇÃO EPIs  VALDELICE     ASO DEMISSIONAL  VALDELICE RODRIGUES DA SILVA   ",Pedido de Suporte
" Take 2 min today to see your monitors performance.    Hello Atendimento, Here is the daily performance summary of your monitors in the team.  1  Active monitors 1  Healthy monitors 408  Requests sent   Personal monitors  Summary of the active monitors in your personal workspace.    Monitor nameSuccess rate Response time ms  Monitoramento  This email was sent to which is associated with a Postman account. If you dont wish to receive these emails, go to notification     2025 Postman Inc. All Rights Reserved 201 Mission Street, Suite 2375, San Francisco, CA 94105",Informacao
"Boa tarde, Luciana Cancela essas preventivas por gentileza 20034482025, 20034492025, 20034882025, 20035192025, 20035212025, Motivo Dobradas Atenciosamente",Pedido de Suporte
"De Para Tarefa 40127Demissão de Colaborador  de Olá Solicito a exclusão do seguinte usuário no sistema Point Service. Nome RAYMOR ALFONSO LINARES DURAN Peço que também seja excluido acesso em demais sistemas da empresa. Atenciosamente, h4. Danielly Brito de Araujo   3 anexos   FORMULÁRIO DE RESCISÃO RAYMOR ALFONSO LINARES     Email  Danielly Brito de Araujo      RAYMOR ALFONSO LINARES DURAN  CONSTRUTORA   ",Pedido de Suporte
" Take 2 min today to see your monitors performance.    Hello Atendimento, Here is the daily performance summary of your monitors in the team.  1  Active monitors 1  Healthy monitors 408  Requests sent   Personal monitors  Summary of the active monitors in your personal workspace.    Monitor nameSuccess rate Response time ms  Monitoramento  This email was sent to which is associated with a Postman account. If you dont wish to receive these emails, go to notification     2025 Postman Inc. All Rights Reserved 201 Mission Street, Suite 2375, San Francisco, CA 94105",Informacao
"   Avoid suspension of your Postman account   Hey there,   Theres an overdue payment of 19 for your team.   To avoid suspension of your teams account and continue using Postman without interruption, please take care of the overdue payment at the earliest using the Pay Now button or from the Billing    Pay   Need help? Learn more about or contact       2025 Postman Inc., All Rights Reserved   201 Mission Street, Suite 2375, San Francisco, CA 94105 ",Informacao
" Take 2 min today to see your monitors performance.    Hello Atendimento, Here is the daily performance summary of your monitors in the team.  1  Active monitors 1  Healthy monitors 408  Requests sent   Personal monitors  Summary of the active monitors in your personal workspace.    Monitor nameSuccess rate Response time ms  Monitoramento  This email was sent to which is associated with a Postman account. If you dont wish to receive these emails, go to notification     2025 Postman Inc. All Rights Reserved 201 Mission Street, Suite 2375, San Francisco, CA 94105",Informacao
" Take 2 min today to see your monitors performance.    Hello Atendimento, Here is the daily performance summary of your monitors in the team.  1  Active monitors 1  Healthy monitors 17  Requests sent   Personal monitors  Summary of the active monitors in your personal workspace.    Monitor nameSuccess rate Response time ms  Monitoramento  This email was sent to which is associated with a Postman account. If you dont wish to receive these emails, go to notification     2025 Postman Inc. All Rights Reserved 201 Mission Street, Suite 2375, San Francisco, CA 94105",Informacao
" Take 2 min today to see your monitors performance.    Hello Atendimento, Here is the daily performance summary of your monitors in the team.  1  Active monitors 1  Healthy monitors 76  Requests sent   Personal monitors  Summary of the active monitors in your personal workspace.    Monitor nameSuccess rate Response time ms  Monitoramento  This email was sent to which is associated with a Postman account. If you dont wish to receive these emails, go to notification     2025 Postman Inc. All Rights Reserved 201 Mission Street, Suite 2375, San Francisco, CA 94105",Informacao
"De Para Tarefa 40403Demissão de Colaborador  Aviso Prévio Olá Solicito exclusão de usuário no Sistema Point Service nome Eduardo da Costa Bernardes Também que seja cancelado email corporativo e acesso a demais sistemas da empresa. Atenciosamente, h4. Heloisa Vitoria Ferreira Lucas   9 anexos   Formulário demissional  Arnaldo Oliveira     DOCUMENTOS RECISÓRIOS ARNALDO     Ausência de documento  Arnaldo Oliveira     EMAIL HUMBERTO     Aviso prévio indenizado  Arnaldo Oliveira     TERMO DE RECEBIMENTO DE CRACHÁ  EDUARDO DA     FICHAS DE EPIS EDUARDO DA     ARNALDO OLIVEIRA SANTOSCONST.     EMAIL HUMBERTO   ",Pedido de Suporte
"Boa tarde, Solicito o cancelamento das seguintes ordens de serviço Comunicação visual 1113324, 1113355, 1113352, 1113338, 1113342, 1113347, 1113320, 11133322025",Pedido de Suporte
"De Para Tarefa 40397Demissão de Colaborador  Aviso Prévio Olá Solicito exclusão de usuário no Sistema Point Service nome Arnaldo Oliveira Santos Também que seja cancelado email corporativo e acesso a demais sistemas da empresa. Atenciosamente, h4. Heloisa Vitoria Ferreira Lucas   9 anexos   Formulário de rescisão  Eduardo da Costa     DOCUMENTOS RECISÓRIOS ARNALDO     Ausência de documento  Eduardo da Costa     EMAIL HUMBERTO     Aviso prévio indenizado  Eduardo da Costa     TERMO DE DEVOLUÇÃO DE CRACHÁ  ARNALDO     FICHAS DE EPIS  ARNALDO OLIVEIRA     EDUARDO DA COSTA     EMAIL HUMBERTO   ",Pedido de Suporte
"De Para Tarefa 40409Demissão de Colaborador  Aviso Prévio Olá Solicito exclusão de usuário no Sistema Point Service nome Também que seja cancelado email corporativo e acesso a demais sistemas da empresa. Atenciosamente, h4. Heloisa Vitoria Ferreira Lucas   8 anexos   Formulário demissional  João Batista da     Ausência de documento  João Batista da     EMAIL HUMBERTO     Aviso prévio indenizado  João Batista da     TERMO DE DEVOLUÇÃO DE CRACHÁ  JOÃO BATISTA DA     FICHAS DE EPIS  JOÃO BATISTA DA     ASO PERIÓDICO JOÃO BATISTA 2025     EMAIL HUMBERTO   ",Pedido de Suporte
"De Para Tarefa 40549Demissão de Colaborador  de Olá Solicito a exclusão do seguinte usuário no sistema Point Service. Nome Peço que também seja excluido acesso em demais sistemas da empresa. Atenciosamente, h4. Tania Oliveira Silva   1 anexo   Formulario de Rescisao do Empregado  Salmo Henrih   ",Pedido de Suporte
"   Avoid suspension of your Postman account   Hey there,   Theres an overdue payment of 19 for your team.   To avoid suspension of your teams account and continue using Postman without interruption, please take care of the overdue payment at the earliest using the Pay Now button or from the Billing    Pay   Need help? Learn more about or contact       2025 Postman Inc., All Rights Reserved   201 Mission Street, Suite 2375, San Francisco, CA 94105 ",Informacao
" Take 2 min today to see your monitors performance.    Hello Atendimento, Here is the daily performance summary of your monitors in the team.  1  Active monitors 1  Healthy monitors 76  Requests sent   Personal monitors  Summary of the active monitors in your personal workspace.    Monitor nameSuccess rate Response time ms  Monitoramento  This email was sent to which is associated with a Postman account. If you dont wish to receive these emails, go to notification     2025 Postman Inc. All Rights Reserved 201 Mission Street, Suite 2375, San Francisco, CA 94105",Informacao
"Bom dia, solicito alteração de permissão dos colaboradores Marcus Ferreira dos Santos e Paulo Vittor Evangelista da Silva. Eles serão responsáveis pelo E precisa ter as mesmas permissões que eu, para assim editar e",Pedido de Suporte
"De Para Tarefa 40693Demissão de Colaborador  de Olá Solicito a exclusão do seguinte usuário no sistema Point Service. Nome ALISSON PEREIRA BARBOSA Peço que também seja excluido acesso em demais sistemas da empresa. Atenciosamente, h4. Maria de Lourdes Tavares dos Santos  ",Pedido de Suporte
"Ciente Obter o Outlook para  De Ingrid Ferreira Enviado Thursday, February 27, 2025 35818 PM Para Atendimento FAB Soluções Cc Humberto Souza Assunto ADIÇÃO DE OBRAS NO POINT SERVICE Boa tarde, solicito a remoção das seguintes obras do meu login do Point Service casa mãe regina cgbp  casa gestante, bebê e puérpera hospital geral de palmas hospital maternidade dona regina unidade de coleta de palmas e ambulatório de hematologia anexo ao hgp e anexar as seguintes almoxarifado central, estoque regulador i, estoque regulador ii, arquivo central, protuarios hiip e hmdr anexo  i e ii anexo  iii diretoria de assistencia farmaceutica anexo  ix almoxarifado de insumos estrategicos e controle vetorial centro estadual de reabilitacao cer ii  palmas escola tocantinense do sus  etsus hemocentro coordenador lacen, imunizacao e arquivo geral  palmas secretaria de saude svo  servicos de verificacao de obitos ",Reincidencia
"Boa tarde, solicito a remoção das seguintes obras do meu login do Point Service casa mãe regina cgbp  casa gestante, bebê e puérpera hospital geral de palmas hospital maternidade dona regina unidade de coleta de palmas e ambulatório de hematologia anexo ao hgp e anexar as seguintes almoxarifado central, estoque regulador i, estoque regulador ii, arquivo central, protuarios hiip e hmdr anexo  i e ii anexo  iii diretoria de assistencia farmaceutica anexo  ix almoxarifado de insumos estrategicos e controle vetorial centro estadual de reabilitacao cer ii  palmas escola tocantinense do sus  etsus hemocentro coordenador lacen, imunizacao e arquivo geral  palmas secretaria de saude svo  servicos de verificacao de obitos ",Pedido de Suporte
"Boa tarde Fui nomeado como gestor em outra unidade de Saúde. Solicito a liberação do acesso ao point service nessa nova unidade. Antes era coordenador geral do Cais Bairro Goiá? Agora estou como coordenador geral da USF Bairro Goiá Segue anexo o memorando de lotação na nova unidade de saúde. Atenciosamente, Nome CARLOS SÉRGIO ALVES GONDIM CPF 83304037187 Unidade Centro de Saúde da Família Goiá CARLOS SÉRGIO Coord. Geral",Pedido de Suporte
"De Para Tarefa 40573Demissão de Colaborador  de Olá Solicito a exclusão do seguinte usuário no sistema Point Service. Nome Peço que também seja excluido acesso em demais sistemas da empresa. Atenciosamente, h4. Tania Oliveira Silva   1 anexo   Formulário de Rescisao do Empregado MARCELO LOPES   ",Pedido de Suporte
"De Para Tarefa 40567Demissão de Colaborador  de Olá Solicito a exclusão do seguinte usuário no sistema Point Service. Nome Peço que também seja excluido acesso em demais sistemas da empresa. Atenciosamente, h4. Tania Oliveira Silva   1 anexo   Formulário de Rescisao do Empregado  LUAN ALVES DA   ",Pedido de Suporte
" Take 2 min today to see your monitors performance.    Hello Atendimento, Here is the daily performance summary of your monitors in the team.  1  Active monitors 1  Healthy monitors 408  Requests sent   Personal monitors  Summary of the active monitors in your personal workspace.    Monitor nameSuccess rate Response time ms  Monitoramento  This email was sent to which is associated with a Postman account. If you dont wish to receive these emails, go to notification     2025 Postman Inc. All Rights Reserved 201 Mission Street, Suite 2375, San Francisco, CA 94105",Informacao
fazer o cadastro do funcionário abaixo  AMADOR JOSE SERRANO RODRIGUEZ  CPF70898303222 Função Auxiliar de,Pedido de Suporte
"Ao finalizar as OS, as mesma não aparecem para sincronizar, mesmo na opção finalizaras, e no sistema consta no status distribuida 20109612025 e essa 20109732025 Colaborador Sebastião Lima",Reclamacao
" Take 2 min today to see your monitors performance.    Hello Atendimento, Here is the daily performance summary of your monitors in the team.  1  Active monitors 1  Healthy monitors 17  Requests sent   Personal monitors  Summary of the active monitors in your personal workspace.    Monitor nameSuccess rate Response time ms  Monitoramento  This email was sent to which is associated with a Postman account. If you dont wish to receive these emails, go to notification     2025 Postman Inc. All Rights Reserved 201 Mission Street, Suite 2375, San Francisco, CA 94105",Informacao
"De Para Tarefa 40784Demissão de Colaborador  de Olá Solicito a exclusão do seguinte usuário no sistema Point Service. Nome Alcides Soares Gomes Neto Peço que também seja excluído acesso em demais sistemas da empresa. Atenciosamente, h4. Danyelly Beatriz Menezes Rodrigues   4 anexos   Formulário de Rescisão do Empregado Alcides Soares Gomes Neto 1     Email de     Aviso prévio de Rescisão Alcides     Formulario de Rescisao do Empregado Alcides Soares Gomes Neto 1   ",Pedido de Suporte
"De Para Tarefa 40778Demissão de Colaborador  de Olá Solicito a exclusão do seguinte usuário no sistema Point Service. Nome Marcos Vinicius Macedo dos Santos Peço que também seja excluído acesso em demais sistemas da empresa. Atenciosamente, h4. Danyelly Beatriz Menezes Rodrigues   4 anexos   Formulário de Rescisão do Empregado Marcos Vinicius Macedo dos     Email de     Aviso prévio de Rescisão Marcos     Formulario de Rescisao do Empregado Marcos Vinicius Macedo dos   ",Pedido de Suporte
"Bom dia, Luciana Altera por gentileza o colaborador dessas preventivas para o colaborador Alessandro Santos e Josemir Celestino . Motivo os Colaboradores Michel Dias e Luan Alves da Silva foram desligados 20036042025, 20036052025, 20036082025, 20036092025, 20036102025, 20036112025, 20034482025, 20034492025, 20034522025, 20034542025, 20034552025, 20034562025, 20034572025, 20034592025, 20034632025, 20034642025,",Pedido de Suporte
"De Para Tarefa 41423Demissão de Colaborador  de Olá Solicito a exclusão do seguinte usuário no sistema Point Service. Nome Peço que também seja excluido acesso em demais sistemas da empresa. Atenciosamente, h4. Lucejane Moreira de Oliveira   4 anexos   1  SOLICITAÇÃO DE RESCISÃO  EDIONES DE JESUS NUNES  PEDRO     2  AUTO. EMAIL EDIONES DE JESUS NUNES  PEDRO     termo de recebimento de crachá devolução     2.0 AVISO E RECIBO DE FÉRIAS  EDIONES DE JESUS  PEDRO   ",Pedido de Suporte
Identificado que os equipamentos estão offline,Reclamacao
"Bom dia, Luciana Cancela por favor essas preventivas .  motivo dobrada 20032252025, 20032262025, 20032272025, 20033012025, 20033022025, 20033632025, 20033642025, 20033652025, 20033662025  Motivo Colaborador desligado 20230522025  motivo local desativado",Pedido de Suporte
" Take 2 min today to see your monitors performance.    Hello Atendimento, Here is the daily performance summary of your monitors in the team.  1  Active monitors 0  Healthy monitors 17  Requests sent   Personal monitors  Summary of the active monitors in your personal workspace.    Monitor nameSuccess rate Response time ms  Monitoramento  This email was sent to which is associated with a Postman account. If you dont wish to receive these emails, go to notification     2025 Postman Inc. All Rights Reserved 201 Mission Street, Suite 2375, San Francisco, CA 94105",Informacao
Foi identificado que os equipamentos estão offline,Reclamacao
"BOA TARDE! CONSIDERANDO AS NECESSIDADES DE NOVO PLANEJAMENTO PARA ATENDIMENTO DAS UNIDADES HOSPITALARES SOLICITO ALTERAÇÃO DE MINHA CONTA JUNTO AO SISTEMA POINT, SENDO EXCLUSÃO DAS UNIDADES HOSPITAL REGIONAL ALVORADA HOSPITAL REGIONAL ARAGUAÇU HOSPITAL REGIONAL ARRAIAS HOSPITAL REGIONAL DIANÓPOLIS. INCLUSÃO DAS SEGUINTES UNIDADES TODOS DE PORTO NACIONAL E PARAISO. ATT. FLÁVIO ANDRÉ",Pedido de Suporte
"De Para Tarefa 39234Demissão de Colaborador  de Olá Solicito a exclusão do seguinte usuário no sistema Point Service. Nome Ygor Rodrigues Queiroz Peço que também seja excluido acesso em demais sistemas da empresa. Atenciosamente, h4. Gilmaria Gomes de Melo  ",Pedido de Suporte
